Data;INCC-Brasil-M-Todos os itens(1465235);INCC-Brasil-DI-Todos os itens(1464783)
09/2016;683.764;684.025
10/2016;684.955;685.489
11/2016;686.118;686.607
12/2016;688.610;688.985
01/2017;690.614;691.792
02/2017;694.258;696.314
03/2017;696.782;697.410
04/2017;696.216;697.244
05/2017;697.117;701.664
06/2017;706.596;708.197
07/2017;708.135;710.355
08/2017;710.954;712.884
09/2017;711.971;713.330
10/2017;713.354;715.527
11/2017;715.318;717.751
12/2017;716.287;718.276
01/2018;718.303;720.495
02/2018;719.332;721.414
03/2018;720.953;723.163
04/2018;722.983;725.245
05/2018;725.186;726.923
06/2018;730.710;733.984
07/2018;735.987;738.487
08/2018;738.158;739.583
09/2018;739.432;741.305
10/2018;741.859;743.866
11/2018;743.755;744.865
12/2018;744.699;745.856
01/2019;747.656;749.517
02/2019;749.111;750.180
03/2019;750.558;752.524
04/2019;754.203;755.373
05/2019;754.859;755.625
06/2019;758.177;762.304
07/2019;765.053;766.699
08/2019;767.682;769.951
09/2019;772.310;773.520
10/2019;773.273;774.939
11/2019;774.421;775.225
12/2019;775.490;776.839
01/2020;777.470;779.766
02/2020;780.184;782.336
03/2020;783.150;784.338
04/2020;784.523;786.070
05/2020;786.132;787.666
06/2020;788.616;790.331
07/2020;795.235;799.589
08/2020;801.777;805.356
09/2020;810.965;814.701
10/2020;824.636;828.778
11/2020;835.305;839.382
12/2020;842.683;845.268
01/2021;850.495;852.809
02/2021;859.573;868.929
03/2021;876.750;880.265
04/2021;885.093;888.191
05/2021;901.032;907.899
06/2021;921.762;927.512
07/2021;933.230;935.359
08/2021;938.475;939.699
09/2021;943.736;944.520
10/2021;951.249;952.596
11/2021;957.984;959.001
12/2021;960.894;962.321
01/2022;967.003;969.184
02/2022;971.651;972.904
03/2022;978.717;981.244
04/2022;987.218;990.543
05/2022;1001.923;1013.164
06/2022;1030.105;1034.824
07/2022;1042.029;1043.760
08/2022;1045.469;1044.679
09/2022;1046.507;1045.616
10/2022;1046.956;1046.896
11/2022;1048.429;1050.701
12/2022;1051.249;1051.632
01/2023;1054.561;1056.418
02/2023;1056.775;1056.896
03/2023;1058.650;1060.116
04/2023;1061.071;1061.635
05/2023;1065.289;1067.919
06/2023;1074.292;1075.540
07/2023;1074.895;1076.626
08/2023;1077.497;1078.412
